,user_id,year_of_birth,report_weight,current_height,sex
326,9915,1976.0,81,156,0
117,3909,1987.0,118,187,1
287,8820,1994.0,69,175,0
331,10057,1994.0,59,173,0
340,10197,1995.0,60,160,0
457,13375,1988.0,58,168,0
193,6251,1982.0,81,168,0
57,1980,1984.0,63,162,0
107,3522,1974.0,79,173,0
222,7235,1992.0,91,174,0
323,9850,1982.0,125,189,1
629,18532,1982.0,57,167,0
13,334,1991.0,75,175,1
407,11886,1978.0,79,174,1
258,8117,1981.0,70,167,0
348,10415,1986.0,54,160,1
132,4391,1988.0,60,157,0
342,10226,1999.0,53,167,1
227,7302,1973.0,103,160,0
352,10548,1995.0,60,166,1
623,18364,1994.0,104,187,1
166,5359,1990.0,64,170,0
657,19398,1981.0,65,171,1
47,1459,1998.0,57,161,0
311,9452,1985.0,58,162,0
174,5630,1984.0,68,168,0
91,3255,1993.0,54,163,0
603,17620,1993.0,53,160,1
336,10127,1987.0,67,172,1
252,8005,1991.0,58,157,0
490,14371,1990.0,64,167,0
196,6277,1985.0,69,165,0
285,8782,1996.0,64,159,0
28,780,1998.0,52,167,0
425,12311,2001.0,45,166,0
618,18275,,60,165,1
585,17111,1985.0,110,163,0
122,4138,1984.0,71,166,0
604,17725,1987.0,64,171,0
439,12752,1993.0,62,177,1
104,3459,1973.0,91,174,1
12,286,1981.0,85,162,0
341,10213,1995.0,65,168,0
510,14890,1970.0,71,165,0
434,12606,1975.0,71,157,0
297,9115,1989.0,60,168,0
347,10386,1993.0,70,165,0
181,5803,1988.0,73,170,0
247,7914,1995.0,70,176,0
648,19132,1993.0,59,170,1
637,18741,1964.0,81,176,0
487,14227,1966.0,90,162,0
455,13327,2002.0,47,162,0
621,18344,1989.0,73,167,1
131,4390,1985.0,76,168,0
458,13423,2000.0,54,170,1
85,3084,2016.0,71,173,0
542,15844,,60,165,1
150,5061,1976.0,95,188,1
408,11887,1981.0,56,165,0
463,13559,1991.0,107,173,1
613,18077,1988.0,60,163,0
624,18370,1989.0,57,169,0
418,12129,1986.0,72,170,0
267,8435,2016.0,61,165,0
293,9069,1994.0,64,174,0
